"daily_time_spent_on_site","age","area_income","daily_internet_usage","ad_topic_line","city","male","country","timestamp","clicked_on_ad"
81.59,35,65830,223.2,Managed disintermediate capability,North Lisachester,0,Holy See (Vatican City State),2016-07-04 11:03:49,0
81.1,29,61170,216.5,Front-line dynamic model,Port Stacy,1,El Salvador,2016-07-08 03:47:41,0
41.7,39,42900,127,Innovative regional structure,Jensenton,0,China,2016-05-27 05:35:27,1
73.94,27,68330,173.5,Function-based incremental standardization,North Alexandra,0,Myanmar,2016-02-10 13:46:35,0
58.35,37,70230,132.6,Universal asymmetric workforce,Rivasland,0,Macao,2016-06-12 21:21:53,1
51.56,46,63100,124.8,Business-focused client-driven forecast,Helenborough,0,Australia,2016-01-07 13:58:51,1
79.81,37,51850,253.2,Realigned global initiative,Garnerberg,0,United States Virgin Islands,2016-05-13 14:12:39,0
66.17,26,63580,228.7,Business-focused maximized complexity,North Anaport,0,Mexico,2016-05-02 00:01:56,0
58.21,37,47580,105.9,Open-source global strategy,Pattymouth,0,Djibouti,2016-02-07 17:06:35,1
66.12,49,39030,113.8,Stand-alone motivating moratorium,South Alexisborough,0,Cote d'Ivoire,2016-02-15 07:27:41,1
80.47,42,70510,215.2,Grass-roots multimedia policy,East Jennifer,1,Mali,2016-02-21 05:23:28,0
77.05,31,62160,236.6,Upgradable local migration,Hallfort,0,Jamaica,2016-03-20 22:27:25,0
49.99,41,61070,121.1,Profound bottom-line standardization,New Charleschester,0,Romania,2016-03-24 09:34:00,1
80.3,58,49090,173.4,Managed client-server access,East Breannafurt,0,Cayman Islands,2016-04-04 20:01:12,1
79.36,33,62330,234.7,Cross-platform directional intranet,East Susanland,1,Gambia,2016-01-02 04:50:44,0
57.86,30,18820,166.9,Horizontal modular success,Estesfurt,0,Algeria,2016-07-08 17:14:01,1
70.29,26,62050,231.4,Vision-oriented multi-tasking success,Shirleyfort,1,Puerto Rico,2016-03-28 19:48:37,0
84.53,33,61920,215.2,Optional multi-state hardware,Douglasview,1,Norfolk Island,2016-07-11 09:32:53,0
59.13,44,49530,106,Upgradable heuristic system engine,South Lisa,1,Turkey,2016-06-09 17:11:02,1
81.51,41,53410,250,Future-proofed modular utilization,Kingshire,0,Guinea,2016-05-19 09:30:12,0
42.94,37,56680,130.4,Synergistic dynamic orchestration,Rebeccamouth,1,Moldova,2016-04-12 12:35:39,1
84.81,32,43300,233.9,Multi-layered stable encoding,Brownbury,1,Greece,2016-07-04 23:17:47,0
82.79,34,48000,132.1,Team-oriented zero-defect initiative,South Aaron,0,American Samoa,2016-02-01 00:52:29,1
59.22,55,39130,126.4,Polarized 5thgeneration matrix,North Andrew,1,Honduras,2016-01-13 02:39:00,1
35,40,46030,151.3,Fully-configurable context-sensitive Graphic Interface,South Walter,1,Mongolia,2016-06-18 16:02:34,1
46.61,42,65860,136.2,Progressive intermediate throughput,Catherinefort,0,Ethiopia,2016-01-01 20:17:49,1
63.26,29,54790,120.5,Customizable holistic archive,East Donna,1,Ethiopia,2016-03-02 04:02:45,1
79.16,32,69560,202.9,Compatible intermediate concept,East Timothy,1,Sri Lanka,2016-03-30 20:23:48,0
67.94,43,68450,128.2,Assimilated next generation firmware,North Kimberly,0,Morocco,2016-05-01 00:23:13,1
79.91,32,62770,230.2,Total zero administration software,South Stephanieport,1,United Arab Emirates,2016-06-17 03:02:55,0
66.14,41,78090,165.3,Re-engineered impactful software,North Isabellaville,0,Western Sahara,2016-03-23 08:52:31,0
43.65,39,63650,138.9,Business-focused background synergy,North Aaronburgh,0,Western Sahara,2016-05-08 22:24:27,1
59.61,21,60640,198.4,Future-proofed coherent budgetary management,Port James,1,Cambodia,2016-04-06 05:55:43,0
46.61,52,27240,157,Ergonomic methodical encoding,Danielview,0,New Zealand,2016-04-05 05:54:15,1
89.37,34,42760,162,Compatible dedicated productivity,Port Stacey,1,Australia,2016-04-16 12:26:31,0
65.1,49,59460,118.1,Up-sized real-time methodology,West Kevinfurt,1,Bulgaria,2016-06-01 03:44:42,1
53.44,42,42910,108.2,Up-sized next generation architecture,Lake Jennifer,1,Libyan Arab Jamahiriya,2016-04-04 22:00:15,1
79.53,51,46130,244.9,Managed 6thgeneration hierarchy,Reyesfurt,0,Barbados,2016-06-26 04:22:26,0
91.43,39,46960,209.9,Organic motivating model,West Carmenfurt,1,French Polynesia,2016-07-07 03:55:01,0
73.57,30,70380,212.4,Pre-emptive transitional protocol,North Stephanieberg,0,Uruguay,2016-03-20 08:22:50,0
78.76,32,70010,208,Managed attitude-oriented Internet solution,East Valerie,1,Uruguay,2016-04-20 10:04:29,0
76.49,23,56460,181.1,Public-key asynchronous matrix,Sherrishire,0,Brazil,2016-03-25 05:05:27,0
61.72,26,67280,218.5,Grass-roots systematic hardware,Port Daniel,0,Venezuela,2016-02-14 07:15:37,0
84.53,35,54770,236.3,User-centric composite contingency,Brownview,0,Myanmar,2016-03-26 00:32:02,0
72.03,34,70780,230.9,Up-sized bi-directional infrastructure,Greerton,1,Malta,2016-07-05 22:33:48,0
77.47,36,70510,222.9,Assimilated actuating policy,Hatfieldshire,1,Jamaica,2016-03-14 03:29:12,0
75.65,39,64020,247.9,Organized upward-trending contingency,Brianabury,1,Bahrain,2016-05-30 02:34:25,0
78.15,33,72040,194.4,Ergonomic neutral portal,New Maria,0,Algeria,2016-03-07 22:32:15,0
63.8,38,36040,108.7,Adaptive demand-driven knowledgebase,Colebury,1,Tuvalu,2016-03-19 00:27:58,1
76.59,29,67530,211.6,Reverse-engineered maximized focus group,Calebberg,0,Georgia,2016-06-18 05:17:33,0
42.6,55,55120,168.3,Switchable analyzing encryption,Lake Ian,0,Cambodia,2016-07-11 18:12:43,1
78.77,28,63500,211.8,Public-key intangible Graphical User Interface,Gomezport,0,Guam,2016-01-01 08:27:06,0
83.4,39,60880,235,Advanced local task-force,Shaneland,0,Tanzania,2016-04-07 01:57:38,0
79.53,33,61470,236.7,Profound well-modulated array,East Aaron,0,Indonesia,2016-02-28 22:02:14,0
73.89,35,70500,230,Multi-channeled asymmetric installation,Dustinborough,1,Somalia,2016-06-26 17:25:55,0
75.8,36,71220,224.9,Multi-layered fresh-thinking neural-net,East Michaelland,0,Belize,2016-01-21 04:30:43,0
81.95,31,64700,208.8,Distributed cohesive migration,East Connie,1,Serbia,2016-05-01 21:46:37,0
56.39,58,32250,154.2,Programmable uniform website,West Shannon,0,Australia,2016-02-14 10:06:49,1
44.73,35,55320,127.6,Object-based neutral policy,North Lauraland,1,Guam,2016-01-27 18:25:42,1
38.35,33,47450,145.5,Horizontal global leverage,Port Christopher,1,Christmas Island,2016-06-16 20:24:33,1
72.53,37,73470,223.9,Synchronized grid-enabled moratorium,South Patrickfort,0,Papua New Guinea,2016-07-21 10:01:50,0
56.2,49,53550,114.8,Adaptive uniform capability,East Georgeside,1,Bahamas,2016-04-21 18:31:27,1
79.67,28,58580,226.8,Total grid-enabled application,Charlesbury,0,Comoros,2016-07-20 01:56:33,0
75.42,26,63370,164.3,Optional regional throughput,Millertown,1,Western Sahara,2016-02-26 17:14:14,0
78.64,31,60280,235.3,Integrated client-server definition,South Renee,1,Nicaragua,2016-01-16 17:56:05,0
67.69,44,37350,109.2,Fundamental methodical support,South Jackieberg,0,Guam,2016-04-01 01:57:12,1
38.35,41,34890,144.7,Synergistic reciprocal attitude,Loriville,1,Vanuatu,2016-06-24 08:42:20,1
59.52,44,67510,251.1,Managed 5thgeneration time-frame,Amandaland,1,Bolivia,2016-05-27 18:45:35,0
62.26,37,77990,166.2,Vision-oriented uniform knowledgebase,West Robertside,0,Malawi,2016-05-26 15:40:12,0
64.75,36,63000,117.7,Multi-tiered stable leverage,North Sarashire,0,Venezuela,2016-04-06 01:19:08,1
79.97,26,61750,185.4,Down-sized explicit budgetary management,Port Maria,1,Nepal,2016-01-08 19:38:45,0
47.9,42,48470,114.5,Cross-group human-resource time-frame,East Jessefort,0,United Kingdom,2016-02-24 19:08:11,1
80.38,30,55130,238.1,Business-focused holistic benchmark,Port Anthony,0,Albania,2016-03-10 07:07:31,0
64.51,42,79480,190.7,Virtual 5thgeneration neural-net,Edwardmouth,1,Madagascar,2016-04-29 07:49:01,0
71.28,37,67310,246.7,Distributed scalable orchestration,Dustinchester,1,Guyana,2016-04-10 16:08:09,0
50.32,40,27960,125.7,Realigned intangible benchmark,Rochabury,0,Yemen,2016-04-27 18:25:30,1
72.76,33,66430,240.6,Virtual impactful algorithm,Williamsport,1,India,2016-05-10 04:28:55,0
72.8,35,63550,249.5,Public-key solution-oriented focus group,Austinland,0,Puerto Rico,2016-01-03 23:21:26,0
74.59,23,40140,158.3,Phased clear-thinking encoding,Lake Gerald,1,United States Virgin Islands,2016-02-15 16:52:04,1
46.66,45,49100,118.2,Grass-roots mission-critical emulation,Wrightview,0,Antigua and Barbuda,2016-03-09 02:07:17,1
48.86,54,53190,134.5,Proactive encompassing paradigm,Perryburgh,0,French Guiana,2016-01-09 17:33:03,1
37.05,39,49740,142.8,Automated object-oriented firmware,Tracyhaven,1,Antigua and Barbuda,2016-02-03 05:47:09,1
81.21,36,63390,233,User-friendly content-based customer loyalty,South Jaimeview,0,Turkmenistan,2016-01-02 09:30:11,0
66.89,23,64430,208.2,Universal incremental array,Sandersland,1,Honduras,2016-01-04 07:28:43,0
68.11,38,73880,231.2,Reactive national success,South Meredithmouth,0,Seychelles,2016-01-07 21:21:50,0
69.15,46,36420,112.7,Automated multi-state toolset,Richardsonshire,0,Cyprus,2016-07-24 00:22:16,1
65.72,36,28280,120.1,Managed didactic flexibility,Kimberlymouth,0,Saint Pierre and Miquelon,2016-02-13 13:57:53,1
40.04,27,48100,161.6,Cross-platform neutral system engine,Meghanchester,0,Poland,2016-05-08 10:25:08,1
68.6,33,68450,135.1,Focused high-level frame,Tammyshire,0,Taiwan,2016-02-17 18:50:57,1
56.16,25,66430,164.3,Seamless motivating approach,Millerbury,1,Cote d'Ivoire,2016-01-22 19:43:53,1
78.6,46,41770,254.6,Enhanced systematic adapter,Lake Elizabethside,1,Micronesia,2016-07-20 13:21:37,0
78.29,38,57840,252.1,Networked regional Local Area Network,Villanuevaton,0,Liberia,2016-01-05 20:58:42,0
43.83,45,35680,129,Total human-resource flexibility,Greerport,0,Saudi Arabia,2016-01-29 05:39:16,1
77.31,32,62790,238.1,Assimilated homogeneous service-desk,North Garyhaven,0,Nepal,2016-06-17 20:18:27,0
39.86,28,51170,161.2,Ergonomic zero tolerance encoding,East Sharon,0,Ghana,2016-02-23 13:55:48,1
66.77,25,58850,141.1,Cross-platform zero-defect structure,Johnstonmouth,0,Iran,2016-07-09 11:18:02,1
57.2,42,57740,110.7,Innovative maximized groupware,East Heatherside,0,New Zealand,2016-03-19 11:09:36,1
73.15,25,64630,211.1,Face-to-face executive encryption,Lake Patrick,1,Libyan Arab Jamahiriya,2016-01-29 07:14:04,0
82.07,24,50340,194,Monitored local Internet solution,Richardsonmouth,0,Sri Lanka,2016-06-14 07:02:09,0
49.84,38,67780,135.2,Phased hybrid superstructure,Jenniferhaven,1,United Arab Emirates,2016-05-18 03:19:03,1
43.97,36,68860,157,User-friendly grid-enabled analyzer,Boyerberg,1,Indonesia,2016-01-30 09:54:03,1
77.25,27,55900,231.4,Pre-emptive neutral contingency,Port Elijah,1,Saint Vincent and the Grenadines,2016-04-25 16:58:50,0
74.84,37,64780,246.4,User-friendly impactful time-frame,Knappburgh,1,Mongolia,2016-01-14 16:30:38,0
83.53,36,67690,204.6,Customizable methodical Graphical User Interface,New Dawnland,0,Honduras,2016-07-06 05:34:52,0
38.63,48,57780,222.1,Cross-platform logistical pricing structure,Chapmanmouth,0,Papua New Guinea,2016-04-07 10:51:05,1
84,48,46870,136.2,Inverse discrete extranet,Robertside,1,Kyrgyz Republic,2016-04-17 05:08:52,1
52.13,50,40930,118.3,Open-source even-keeled database,West Raymondmouth,1,Ethiopia,2016-01-28 17:03:54,1
71.83,40,22210,135.5,Diverse background ability,Costaburgh,1,Rwanda,2016-02-18 22:42:33,1
78.36,24,58920,196.8,Multi-tiered foreground Graphic Interface,Kristineberg,1,Kyrgyz Republic,2016-06-24 21:09:58,0
50.18,35,63010,127.8,Customizable hybrid system engine,Sandrashire,1,Grenada,2016-06-20 04:24:41,1
64.67,51,24320,138.3,Horizontal incremental website,Andersonfurt,1,Togo,2016-02-14 16:33:29,1
69.5,26,68350,203.8,Front-line systemic capability,Tranland,0,Pakistan,2016-02-27 13:51:44,0
65.22,30,66260,240.1,Fully-configurable foreground solution,Michaelland,1,Falkland Islands (Malvinas),2016-05-07 15:16:07,0
62.06,40,63490,116.3,Digitized radical array,East Rachaelfurt,1,Jersey,2016-03-16 20:10:53,1
84.29,30,56980,160.3,Team-oriented transitional methodology,Lake Johnbury,1,Cayman Islands,2016-06-26 02:06:59,1
32.91,37,51690,181,Future-proofed fresh-thinking conglomeration,Elizabethstad,0,South Africa,2016-07-17 14:26:04,1
39.5,31,49910,148.2,Operative multi-tasking Graphic Interface,West Brad,1,Micronesia,2016-01-28 16:42:36,1
75.19,31,33500,245.8,Implemented discrete frame,Johnstonshire,1,Tajikistan,2016-06-16 18:04:51,0
76.21,31,65830,228.9,Ameliorated exuding encryption,Lake Timothy,1,Bolivia,2016-06-19 23:21:38,0
67.76,31,66180,242.6,Programmable high-level benchmark,Anthonyfurt,0,Cameroon,2016-05-24 17:42:58,0
40.01,53,51460,161.8,Sharable multimedia conglomeration,East Brettton,0,Ecuador,2016-03-01 22:06:37,1
52.7,41,41060,109.3,Team-oriented high-level orchestration,New Matthew,1,Zambia,2016-01-31 08:50:38,1
68.41,38,61430,259.8,Grass-roots empowering paradigm,Christopherchester,0,Guinea-Bissau,2016-04-30 15:27:22,0
35.55,39,51590,151.2,Robust object-oriented Graphic Interface,Westshire,0,Micronesia,2016-01-13 20:38:35,1
74.54,24,57520,219.8,Switchable secondary ability,Alexisland,0,Bahamas,2016-03-30 16:15:59,0
81.75,24,52660,190.1,Open-architected web-enabled benchmark,Kevinchester,1,Cape Verde,2016-04-29 18:53:43,0
87.85,31,52180,210.3,Compatible scalable emulation,New Patriciashire,1,French Polynesia,2016-06-14 19:48:34,0
60.23,60,46240,151.5,Seamless optimal contingency,Port Brenda,1,Saudi Arabia,2016-07-15 15:43:36,1
87.97,35,48920,149.3,Secured secondary superstructure,Port Brianfort,1,France,2016-03-24 05:38:01,0
78.17,27,65230,192.3,Automated mobile model,Portermouth,1,Burundi,2016-04-26 20:57:48,0
67.91,23,55000,146.8,Re-engineered non-volatile neural-net,Hubbardmouth,1,Latvia,2016-01-12 03:28:31,1
85.77,27,52260,191.8,Implemented disintermediate attitude,South Brian,1,Morocco,2016-04-09 23:26:42,0
41.16,49,59450,150.8,Configurable interactive contingency,Hendrixmouth,1,Venezuela,2016-03-28 09:15:58,1
53.54,39,47310,108,Optimized systemic capability,Julietown,0,Palau,2016-06-23 11:05:01,1
73.94,26,55410,236.2,Front-line non-volatile implementation,Lukeport,1,Isle of Man,2016-01-24 01:53:14,0
63.43,29,66500,236.8,Ergonomic 24/7 solution,New Shane,1,Peru,2016-04-15 10:18:55,0
84.59,36,47170,241.8,Integrated grid-enabled budgetary management,Lake Jillville,1,Belgium,2016-04-26 13:13:20,0
70.13,31,70890,225,Profit-focused systemic support,Johnsonfort,0,Croatia,2016-05-16 23:21:06,0
40.19,37,55360,137,Right-sized system-worthy project,Adamsbury,0,France,2016-01-18 02:51:13,1
58.95,55,56240,131.3,Proactive actuating Graphical User Interface,East Maureen,1,Slovenia,2016-06-20 08:34:46,1
35.76,51,45520,195.1,Versatile optimizing projection,North Angelastad,0,Peru,2016-07-18 04:53:22,1
59.36,49,46930,110.8,Universal multi-state system engine,Amandafort,0,Belarus,2016-07-01 01:12:04,1
91.1,40,55500,198.1,Secured intermediate approach,Michaelmouth,1,Bolivia,2016-03-07 22:51:00,0
61.04,41,75810,149.2,Operative didactic Local Area Network,Ronaldport,0,Benin,2016-05-02 15:31:28,1
74.06,23,40350,226,Phased content-based middleware,Port Davidland,0,Wallis and Futuna,2016-07-23 06:18:51,0
64.63,45,15600,158.8,Triple-buffered high-level Internet solution,Isaacborough,1,Azerbaijan,2016-06-12 03:11:04,1
81.29,28,33240,219.7,Synergized well-modulated Graphical User Interface,Lake Michael,0,Mongolia,2016-02-15 20:41:05,0
76.07,36,68030,235.6,Implemented bottom-line implementation,West Michaelshire,0,Denmark,2016-01-23 01:42:28,0
75.92,22,38430,182.7,Monitored context-sensitive initiative,Port Calvintown,0,Russian Federation,2016-02-26 01:18:44,0
78.35,46,53190,253.5,Pre-emptive client-server open system,Parkerhaven,0,Brazil,2016-01-11 02:07:14,0
46.14,28,39720,138,Seamless bandwidth-monitored knowledge user,Markhaven,1,Ethiopia,2016-04-04 13:56:14,1
44.33,41,43390,120.6,Ergonomic empowering frame,Estradashire,0,Guyana,2016-01-14 09:27:59,1
46.43,28,53920,137.2,Reverse-engineered background Graphic Interface,Brianland,1,Ethiopia,2016-04-25 03:18:45,1
66.04,27,71880,199.8,Synergistic non-volatile analyzer,Cassandratown,0,Mauritius,2016-03-05 23:02:11,0
84.31,29,47140,225.9,Object-based optimal solution,West Dannyberg,0,Djibouti,2016-01-06 21:43:22,0
83.66,38,68880,175.1,Profound dynamic attitude,East Debraborough,0,Syrian Arab Republic,2016-02-18 03:58:36,0
81.25,33,65190,222.3,Enhanced system-worthy toolset,Frankchester,1,Saint Martin,2016-04-16 14:15:55,0
85.26,32,55420,224.1,Reverse-engineered dynamic function,Lisafort,1,Netherlands Antilles,2016-02-24 06:18:11,0
86.53,46,46500,233.4,Networked responsive application,Colemanshire,0,Greece,2016-06-29 01:19:21,0
76.44,26,58820,224.2,Distributed intangible database,Troyville,1,Madagascar,2016-01-05 06:34:20,0
52.84,43,28500,122.3,Multi-tiered mobile encoding,Hobbsbury,0,Senegal,2016-07-16 10:14:04,1
85.24,31,61840,182.8,Optional contextually-based flexibility,Harrisonmouth,1,Burkina Faso,2016-06-17 03:23:13,0
74.71,46,37910,258.1,Proactive local focus group,Port Eugeneport,1,Czech Republic,2016-06-13 11:06:40,0
82.95,39,69810,201.3,Customer-focused impactful success,Karenmouth,0,Lao People's Democratic Republic,2016-04-05 08:18:45,0
76.42,26,60320,223.2,Open-source optimizing parallelism,Brendaburgh,1,Netherlands Antilles,2016-04-17 18:38:14,0
42.04,49,67320,182.1,Organic logistical adapter,New Christinatown,0,Qatar,2016-02-03 16:54:33,1
46.28,26,50060,228.8,Stand-alone eco-centric system engine,Jacksonstad,1,Andorra,2016-04-18 21:07:28,1
48.26,50,43570,122.5,User-centric intermediate knowledge user,South Margaret,1,Liechtenstein,2016-06-18 22:31:22,1
71.03,55,28190,150.8,Programmable didactic capacity,Port Georgebury,0,China,2016-03-12 07:18:36,1
81.37,33,66410,215,Enhanced regional conglomeration,New Jessicaport,0,Vietnam,2016-01-15 01:20:05,0
58.05,32,15880,195.5,Total asynchronous architecture,Sanderstown,1,Tajikistan,2016-02-12 10:39:10,1
75,29,63970,230.4,Secured upward-trending benchmark,Perezland,1,Eritrea,2016-02-16 02:29:03,0
79.61,31,58340,236,Customizable value-added project,Luisfurt,0,Monaco,2016-04-04 21:23:13,0
52.56,31,33150,250.4,Integrated interactive support,New Karenberg,1,Israel,2016-04-24 01:48:21,1
62.18,33,65900,126.4,Reactive impactful challenge,West Leahton,0,Hungary,2016-05-20 00:00:48,1
77.89,26,64190,201.5,Switchable multi-state success,West Sharon,0,Singapore,2016-05-15 03:10:50,0
66.08,61,58970,184.2,Synchronized multi-tasking ability,Klineside,1,Cuba,2016-01-07 23:02:43,1
89.21,33,44080,210.5,Fundamental clear-thinking knowledgebase,Lake Cynthia,0,Reunion,2016-07-19 12:05:58,0
49.96,55,60970,151.9,Multi-layered user-facing parallelism,South Cynthiashire,1,Zambia,2016-04-04 00:02:20,1
77.44,28,65620,210.4,Front-line incremental access,Lake Jacob,0,Gabon,2016-06-10 04:21:57,0
82.58,38,65500,225.2,Open-architected zero administration secured line,West Samantha,1,Dominica,2016-03-11 14:50:56,0
39.36,29,52460,161.8,Mandatory disintermediate info-mediaries,Jeremybury,1,Bahamas,2016-01-14 20:58:10,1
47.23,38,70580,149.8,Implemented context-sensitive Local Area Network,Blevinstown,1,Tokelau,2016-06-22 05:22:58,1
87.85,34,51820,153,Digitized interactive initiative,Meyerchester,0,Turkmenistan,2016-03-19 08:00:58,0
65.57,46,23410,130.9,Implemented asynchronous application,Reginamouth,0,Belgium,2016-04-15 15:07:17,1
78.01,26,62730,200.7,Focused multi-state workforce,Donaldshire,1,French Guiana,2016-03-28 02:29:19,0
44.15,28,48870,142,Proactive secondary monitoring,Salazarbury,1,Martinique,2016-01-22 15:03:25,1
43.57,36,50970,125.2,Front-line upward-trending groupware,Lake Joshuafurt,1,French Polynesia,2016-06-25 17:33:35,1
76.83,28,67990,192.8,Quality-focused 5thgeneration orchestration,Wintersfort,0,Ecuador,2016-03-04 14:33:38,0
42.06,34,43240,131.6,Multi-layered secondary software,Jamesmouth,0,Puerto Rico,2016-06-29 02:48:44,1
76.27,27,60080,226.7,Total coherent superstructure,Laurieside,1,United Arab Emirates,2016-06-18 01:42:37,0
74.27,37,65180,247.1,Monitored executive architecture,Andrewmouth,1,Burkina Faso,2016-01-31 09:57:34,0
73.27,28,67300,216.2,Front-line multi-state hub,West Angela,1,Luxembourg,2016-05-22 15:17:25,0
74.58,36,70700,230.5,Configurable mission-critical algorithm,East Carlos,0,Jamaica,2016-07-22 11:05:10,0
77.5,28,61000,225.3,Face-to-face responsive alliance,Kennedyfurt,1,Antarctica (the territory South of 60 deg S),2016-07-13 14:05:22,0
87.16,33,60810,197.2,Reduced holistic help-desk,Blairville,0,China,2016-02-11 11:50:26,0
87.16,37,50710,231.9,Pre-emptive content-based frame,East Donnatown,1,Western Sahara,2016-03-16 20:33:10,0
66.26,47,14550,179,Optional full-range projection,Matthewtown,1,Lebanon,2016-04-25 19:31:39,1
65.15,29,41340,117.3,Expanded value-added emulation,Brandonbury,0,Hong Kong,2016-07-14 22:43:29,1
68.25,33,76480,198.9,Organic well-modulated database,New Jamestown,1,Vanuatu,2016-05-30 08:02:35,0
73.49,38,67130,244.2,Organic 3rdgeneration encryption,Mosleyburgh,0,Vanuatu,2016-02-14 11:36:08,0
39.19,54,52580,173.1,Stand-alone empowering benchmark,Leahside,0,Guatemala,2016-01-23 21:15:57,1
80.15,25,55200,214.5,Monitored intermediate circuit,West Wendyland,0,Greenland,2016-07-18 02:51:19,0
86.76,28,48680,189.9,Object-based leadingedge complexity,Lawrenceborough,0,Syrian Arab Republic,2016-02-10 08:21:13,0
73.88,29,63110,233.6,Digitized zero-defect implementation,Kennethview,0,Saint Helena,2016-01-04 06:37:15,0
58.6,19,44490,197.9,Configurable impactful firmware,West Mariafort,1,Lebanon,2016-06-05 21:38:22,0
69.77,54,57670,132.3,Face-to-face dedicated flexibility,Port Sherrystad,0,Malta,2016-06-01 03:17:50,1
87.27,30,51820,204.3,Fully-configurable 5thgeneration circuit,West Melissashire,1,Christmas Island,2016-03-06 06:51:23,1
77.65,28,66200,208,Configurable impactful capacity,Pamelamouth,0,Ukraine,2016-02-26 19:35:54,0
76.02,40,73170,219.6,Distributed leadingedge orchestration,Lesliefort,0,Malta,2016-07-13 14:30:14,0
78.84,26,56590,217.7,Persistent even-keeled application,Shawnside,1,Italy,2016-06-29 07:20:46,0
71.33,23,31070,169.4,Optimized attitude-oriented initiative,Josephmouth,0,Japan,2016-03-15 06:54:21,1
81.9,41,66770,225.5,Multi-channeled 3rdgeneration model,Garciatown,0,Mauritius,2016-06-11 06:47:55,0
46.89,48,72550,176.8,Polarized mission-critical structure,Chaseshire,1,Turkey,2016-07-17 13:22:43,1
77.8,57,43710,152.9,Virtual executive implementation,Destinyfurt,0,Namibia,2016-02-14 14:38:01,1
45.44,43,48450,119.3,Enhanced intermediate standardization,Mezaton,0,China,2016-05-04 05:01:37,1
69.96,31,73410,214.1,Realigned tangible collaboration,New Kayla,1,Netherlands,2016-05-20 12:17:28,0
87.35,35,58110,158.3,Cloned dedicated analyzer,Carsonshire,1,Gibraltar,2016-01-26 02:47:17,0
49.42,53,45470,128,Ameliorated well-modulated complexity,Jacquelineshire,1,Congo,2016-07-07 18:07:19,1
71.27,21,50150,216,Quality-focused bi-directional throughput,South Blakestad,1,Senegal,2016-01-11 12:46:31,0
49.19,38,61000,123.1,Versatile solution-oriented secured line,North Mark,0,Hungary,2016-05-12 12:11:12,1
39.96,35,53900,138.5,Phased leadingedge budgetary management,Kingchester,1,Pitcairn Islands,2016-02-28 23:21:22,1
85.01,29,59800,192.5,Devolved exuding Local Area Network,Evansfurt,0,Slovakia (Slovak Republic),2016-05-03 16:02:50,0
68.95,51,74620,185.8,Front-line bandwidth-monitored capacity,South Adamhaven,1,United States Virgin Islands,2016-03-15 20:19:20,0
67.59,45,58680,113.7,User-centric solution-oriented emulation,Brittanyborough,0,Monaco,2016-07-23 05:21:39,1
75.71,34,62110,246.1,Phased hybrid intranet,Barbershire,0,Portugal,2016-03-11 10:01:23,0
43.07,36,60580,137.6,Monitored zero administration collaboration,East Ericport,1,Turkey,2016-02-11 20:45:46,1
39.47,43,65580,163.5,Team-oriented systematic installation,Crawfordfurt,1,Uganda,2016-07-06 23:09:07,1
48.22,40,73880,214.3,Inverse national core,Turnerville,0,Norfolk Island,2016-03-22 19:14:47,0
76.76,25,50470,230.8,Secured uniform instruction set,Kylieview,1,Niue,2016-05-26 13:28:36,0
78.74,27,51410,234.8,Quality-focused zero tolerance matrices,West Zacharyborough,0,Ukraine,2016-06-18 19:10:14,0
67.47,24,60510,225.1,Multi-tiered heuristic strategy,Watsonfort,1,Vanuatu,2016-03-20 07:12:52,0
81.17,30,57200,231.9,Optimized static archive,Dayton,1,United States Minor Outlying Islands,2016-06-03 07:00:36,0
89.66,34,52800,171.2,Advanced didactic conglomeration,Nicholasport,1,Armenia,2016-02-03 15:15:42,0
79.6,28,56570,227.4,Synergistic discrete middleware,Whitneyfort,1,Sweden,2016-05-03 16:55:02,0
65.53,19,51050,190.2,Pre-emptive client-server installation,Coffeytown,1,Timor-Leste,2016-06-20 02:25:12,0
61.87,35,66630,250.2,Multi-channeled attitude-oriented toolset,North Johnside,1,French Southern Territories,2016-07-10 19:15:52,0
83.16,41,70190,194.9,Decentralized 24hour approach,Robinsonland,0,Finland,2016-01-04 04:00:35,0
44.11,41,43110,121.2,Organic next generation matrix,Lake David,1,Saint Vincent and the Grenadines,2016-04-20 16:49:15,1
56.57,26,56440,132,Multi-channeled non-volatile website,West Ericaport,0,Senegal,2016-01-23 13:14:18,1
83.91,29,53220,222.9,Distributed bifurcated challenge,Haleberg,0,Burundi,2016-01-04 22:27:25,0
79.8,28,57180,229.9,Customizable zero-defect Internet solution,West Michaelport,1,Bahamas,2016-04-08 22:40:55,0
71.23,52,41520,122.6,Self-enabling zero administration neural-net,Ericksonmouth,0,Sweden,2016-01-05 11:53:17,1
47.23,43,73540,210.9,Optimized upward-trending productivity,Yangside,1,Svalbard & Jan Mayen Islands,2016-03-17 22:24:02,1
82.37,30,63660,207.4,Open-architected system-worthy ability,Estradafurt,0,Tonga,2016-06-29 04:23:10,0
43.63,38,61760,135.3,Quality-focused maximized extranet,Frankport,1,Korea,2016-05-25 19:45:16,1
70.9,28,71730,190.9,Centralized client-driven workforce,Port Juan,0,Kyrgyz Republic,2016-06-17 23:19:38,0
71.9,29,72200,193.3,De-engineered intangible flexibility,Williamsside,1,Costa Rica,2016-04-24 07:20:16,0
62.12,37,50670,105.9,Re-engineered intangible software,Johnsonview,1,Liechtenstein,2016-03-18 13:00:12,1
67.35,29,47510,118.7,Sharable secondary Graphical User Interface,East Heidi,0,Zimbabwe,2016-04-28 21:58:25,1
